S No,Station Name,Station Code,Station Category,Division,Zone,District,State,Category_Rank,Division_Station_Count,Zone_Share_%
1,BHORAS BUDRUKH,BFJ,HG2,BHUSAWAL,CR,JALGAON,MAHARASHTRA,2,118,5.7
2,JAMNER,JMNR,HG2,BHUSAWAL,CR,JALGAON,MAHARASHTRA,2,118,5.7
3,ANJANGAON,ANJ,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
4,BANOSA,BASA,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
5,BHADSIVNI,BDKE,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,3,118,5.7
6,BHAGDARA,BGR,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,3,118,5.7
7,BORVIHIR,BRVR,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,3,118,5.7
8,CHAMAK,CMK,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
9,DARWHA MOTI BAGH JN.,DWM,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,3,118,5.7
10,KAPUSTALNI,KTNI,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
11,KARANJA,KRJA,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,3,118,5.7
12,KARANJA TOWN,KRJT,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,3,118,5.7
13,KHUSTA BUZURG,KSBG,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
14,KINKHED,KQV,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,3,118,5.7
15,KOHDAD,KDK,HG3,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,3,118,5.7
16,KOKALDA,KXD,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
17,KOLHADI,KLHD,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,3,118,5.7
18,LADKHED,LDD,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,3,118,5.7
19,LAKHPURI,LPU,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,3,118,5.7
20,LASINA,LSN,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,3,118,5.7
21,LEHGAON,LGN,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
22,LING,LING,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,3,118,5.7
23,MANDURA,MNDA,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,3,118,5.7
24,MOHADI PRAGANE LALIN,MHAD,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,3,118,5.7
25,MORDAD TANDA,MWK,HG3,BHUSAWAL,CR,DHULE,MAHARASHTRA,3,118,5.7
26,MURTIZAPUR TOWN,MZRT,HG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,3,118,5.7
27,NOWBAGH,NBGH,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
28,PAHUR,PHU,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,3,118,5.7
29,PIMPALGAON,PMGN,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,3,118,5.7
30,POHE,POHE,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,3,118,5.7
31,RAJMANE,RM,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,3,118,5.7
32,SANGWI,SWQ,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,3,118,5.7
33,SHENDURNI,SDRN,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,3,118,5.7
34,SHIRALA,SIRL,HG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,3,118,5.7
35,SOMTHAN,SMTN,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,3,118,5.7
36,TAPONA,TPN,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,3,118,5.7
37,VARKHEDI,VRKD,HG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,3,118,5.7
38,VILEGAON,VLN,HG3,BHUSAWAL,CR,WASHIM,MAHARASHTRA,3,118,5.7
39,WARUDKHED,WRD,HG3,BHUSAWAL,CR,YAVATMAL,MAHARASHTRA,3,118,5.7
40,NASHIK ROAD,NK,NSG2,BHUSAWAL,CR,NASHIK,MAHARASHTRA,5,118,5.7
41,AKOLA JN.,AK,NSG3,BHUSAWAL,CR,AKOLA,MAHARASHTRA,6,118,5.7
42,AMRAVATI,AMI,NSG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,6,118,5.7
43,BADNERA JN.,BD,NSG3,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,6,118,5.7
44,BHUSAVAL JN.,BSL,NSG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,6,118,5.7
45,JALGAON JN,JL,NSG3,BHUSAWAL,CR,JALGAON,MAHARASHTRA,6,118,5.7
46,KHANDWA,KNW,NSG3,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,6,118,5.7
47,MANMAD JN.,MMR,NSG3,BHUSAWAL,CR,NASHIK,MAHARASHTRA,6,118,5.7
48,SHEGAON,SEG,NSG3,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,6,118,5.7
49,BURHANPUR,BAU,NSG4,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,7,118,5.7
50,CHALISGAON JN,CSN,NSG4,BHUSAWAL,CR,JALGAON,MAHARASHTRA,7,118,5.7
51,MALKAPUR,MKU,NSG4,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,7,118,5.7
52,BODWAD,BDWD,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,8,118,5.7
53,DEVLALI,DVL,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,8,118,5.7
54,DHULE,DHI,NSG5,BHUSAWAL,CR,DHULE,MAHARASHTRA,8,118,5.7
55,LASALGAON,LS,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,8,118,5.7
56,MURTIZAPUR,MZR,NSG5,BHUSAWAL,CR,AKOLA,MAHARASHTRA,8,118,5.7
57,NANDGAON,NGN,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,8,118,5.7
58,NANDURA,NN,NSG5,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,8,118,5.7
59,NEPANAGAR,NPNR,NSG5,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,8,118,5.7
60,NIPHAD,NR,NSG5,BHUSAWAL,CR,NASHIK,MAHARASHTRA,8,118,5.7
61,PACHORA JN.,PC,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,8,118,5.7
62,RAVER,RV,NSG5,BHUSAWAL,CR,JALGAON,MAHARASHTRA,8,118,5.7
63,ACHALPUR,ELP,NSG6,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,9,118,5.7
64,ACHEGAON,ACG,NSG6,BHUSAWAL,CR,JALGAON,MAHARASHTRA,9,118,5.7
65,ANKAI,ANK,NSG6,BHUSAWAL,CR,NASHIK,MAHARASHTRA,9,118,5.7
66,ASIRGARH ROAD,AGQ,NSG6,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,9,118,5.7
67,ASVALI,AV,NSG6,BHUSAWAL,CR,NASHIK,MAHARASHTRA,9,118,5.7
68,BAGMAR,BMA,NSG6,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,9,118,5.7
69,BHADLI,BDI,NSG6,BHUSAWAL,CR,JALGAON,MAHARASHTRA,9,118,5.7
70,BISWA BRIDGE,BIS,NSG6,BHUSAWAL,CR,BULDHANA,MAHARASHTRA,9,118,5.7
71,BORGAON,BGN,NSG6,BHUSAWAL,CR,AKOLA,MAHARASHTRA,9,118,5.7
72,CHANDNI,CDI,NSG6,BHUSAWAL,CR,BURHANPUR,MADHYA PRADESH,9,118,5.7
73,CHANDUR BAZAR,CNDB,NSG6,BHUSAWAL,CR,AMRAVATI,MAHARASHTRA,9,118,5.7
74,DONGARGAON,DGN,NSG6,BHUSAWAL,CR,EAST NIMAR,MADHYA PRADESH,9,118,5.7
75,DUSKHEDA,DSK,NSG6,BHUSAWAL,CR,JALGAON,MAHARASHTRA,9,118,5.7
76,GAIGAON,GAO,NSG6,BHUSAWAL,CR,AKOLA,MAHARASHTRA,9,118,5.7
77,GALAN,GAA,NSG6,BHUSAWAL,CR,JALGAON,MAHARASHTRA,9,118,5.7
